Y_call	sample.id	length	ploidy	purity	min.segment	max.segment
intact_Y_chrom	TCGA-14-1825	23847741	2.1500140454689	0.843397761815553	2786968	26634709
Y_chrom_loss	TCGA-14-1827	23847573	2.17970180202387	0.75717438849675	2787136	26634709
intact_Y_chrom	TCGA-14-1829	23846338	2.07826905571909	0.668401567109731	2786967	26633305
intact_Y_chrom	TCGA-14-3476	23847626	2.03616405301005	0.728042723877031	2787050	26634676
intact_Y_chrom	TCGA-14-4157	23847601	1.93864830604443	0.930655286445481	2787019	26634620
intact_Y_chrom	TCGA-15-0742	23847712	2.00384032265328	0.888267665969118	2786938	26634650
Y_chrom_loss	TCGA-15-1446	23834831	2.62452615490444	0.755896278526538	2787019	26621850
intact_Y_chrom	TCGA-16-0846	23847264	3.62713369759994	0.621481932832948	2787412	26634676
intact_Y_chrom	TCGA-16-0848	23841143	2.04823532825009	0.761228699975691	2787207	26628350
intact_Y_chrom	TCGA-16-0849	23846439	2.56543828679586	0.268481397812345	2786984	26633423
intact_Y_chrom	TCGA-16-0861	23847700	1.9530961062086	0.820090810932138	2786976	26634676
Y_chrom_loss	TCGA-18-3406	20636969	2.01028959828787	0.442725205170187	2842210	26671680
Y_chrom_loss	TCGA-18-3407	23827562	3.14531487821827	0.367922460256864	2844088	26671650
intact_Y_chrom	TCGA-18-3409	23829448	3.47716734165133	0.503340511860276	2842211	26671659
intact_Y_chrom	TCGA-18-3410	23827587	3.34509161799877	0.60687155540662	2844063	26671650
Y_chrom_loss	TCGA-18-3412	23829440	4.87245109330419	0.625862840559076	2842210	26671650
intact_Y_chrom	TCGA-18-3414	19081081	4.46677885214282	0.578213369910049	2842210	26671680
Y_chrom_loss	TCGA-18-3415	23827550	2.86935686873754	0.44579155736127	2844100	26671650
intact_Y_chrom	TCGA-18-3416	23829455	3.07702886752587	0.470538156621819	2842240	26671695
intact_Y_chrom	TCGA-18-3417	22212893	3.44222865872771	0.402568016085269	2786968	26634676
intact_Y_chrom	TCGA-18-3421	23830029	3.41151004021389	0.444204738913042	2841651	26671680
Y_chrom_loss	TCGA-18-4083	23845920	2.94506550748393	0.663743341106755	2787430	26633350
Y_chrom_loss	TCGA-18-4721	23846297	1.88813639396245	0.408080379263397	2787053	26633350
Y_chrom_loss	TCGA-18-5592	23846305	3.7706650898537	0.659720004352657	2787019	26633324
Y_chrom_loss	TCGA-18-5595	23846324	2.10472719560805	0.827445542715473	2787000	26633324
Y_chrom_loss	TCGA-19-1385	23847674	3.61847500139115	0.343278779028146	2786976	26634650
Y_chrom_loss	TCGA-19-1386	23847605	2.59079670387899	0.873107735973715	2787015	26634620
intact_Y_chrom	TCGA-19-1387	23847500	2.24821842714842	0.797932598734194	2787100	26634600
intact_Y_chrom	TCGA-19-1388	23847540	2.65947270021161	0.77572412486885	2787060	26634600
Y_chrom_loss	TCGA-19-1389	23847657	3.2960712656498	0.664889752450925	2787052	26634709
intact_Y_chrom	TCGA-19-1787	23846423	2.45933823578018	0.715779459253468	2786967	26633390
Y_chrom_loss	TCGA-19-1788	23847598	3.44328119949214	0.382760438677951	2787052	26634650
intact_Y_chrom	TCGA-19-1790	23847661	2.09842063633469	0.529013235298264	2787015	26634676
intact_Y_chrom	TCGA-19-2620	23847700	2.05478998914844	0.620597837661029	2786976	26634676
intact_Y_chrom	TCGA-19-2621	23847709	2.34661004247459	0.862747745597419	2787000	26634709
intact_Y_chrom	TCGA-19-2623	23846417	1.84292382660662	0.73726332939896	2786973	26633390
intact_Y_chrom	TCGA-19-2624	23846340	2.06892666318525	0.901043184258681	2786984	26633324
intact_Y_chrom	TCGA-19-2629	23847605	3.50233465336828	0.609463490926779	2787015	26634620
intact_Y_chrom	TCGA-19-4065	23841350	2.79254552960303	0.370738375895522	2787000	26628350
intact_Y_chrom	TCGA-19-5952	23840894	2.01145720498754	0.679628330140482	2787456	26628350
intact_Y_chrom	TCGA-19-5953	23841316	2.03465893157161	0.513491494092403	2786984	26628300
intact_Y_chrom	TCGA-19-5955	23840746	1.95270388638464	0.359914427173573	2787504	26628250
intact_Y_chrom	TCGA-19-5958	23847172	2.05081525398708	0.687724806719177	2787504	26634676
intact_Y_chrom	TCGA-19-5960	23786196	1.88503298523218	0.907060186199694	2842154	26628350
intact_Y_chrom	TCGA-19-A60I	23840800	2.0590420255657	0.864725323862982	2787450	26628250
intact_Y_chrom	TCGA-19-A6J4	23786089	3.10326816124793	0.334748684540196	2842211	26628300
intact_Y_chrom	TCGA-19-A6J5	23840781	2.03007407519798	0.813811601648353	2787519	26628300
Y_chrom_loss	TCGA-21-1071	23846400	3.53884001869767	0.394178623917537	2787000	26633400
Y_chrom_loss	TCGA-21-1075	23846347	3.31472785468467	0.711528912898982	2787053	26633400
intact_Y_chrom	TCGA-21-1077	23847636	2.65163865589611	0.370086112300108	2786984	26634620
intact_Y_chrom	TCGA-21-1078	23847568	2.01740899701487	0.909730334184766	2787052	26634620
intact_Y_chrom	TCGA-21-1079	23847700	3.29431307621674	0.52894915883776	2786950	26634650
intact_Y_chrom	TCGA-21-1080	23847568	1.95218302362677	0.772634124978444	2787052	26634620
intact_Y_chrom	TCGA-21-1081	21789765	3.10161911938824	0.530459421662958	2786950	26633350
Y_chrom_loss	TCGA-21-1082	23836895	3.72150630534318	0.543678737986453	2787136	26633350
Y_chrom_loss	TCGA-21-1083	23846390	3.16888319949735	0.555436942475089	2787000	26633390
Y_chrom_loss	TCGA-21-5783	23841316	3.19076464131931	0.558413164699085	2786984	26628300
intact_Y_chrom	TCGA-21-5786	23786131	2.84289195465249	0.677354508314145	2842169	26628300
Y_chrom_loss	TCGA-21-5787	23643098	2.55874918355052	0.479655854209504	2787519	26628250
intact_Y_chrom	TCGA-21-A5DI	23840888	3.40712660959542	0.359749972669224	2787412	26628300
Y_chrom_loss	TCGA-22-0940	23846390	1.77213980065741	0.39025111990696	2787000	26633390
Y_chrom_loss	TCGA-22-0944	23847520	1.91428260937897	0.615691625579025	2787100	26634620
intact_Y_chrom	TCGA-22-1000	23846340	2.01983289158177	0.204915834471263	2787050	26633390
Y_chrom_loss	TCGA-22-1002	23847747	2.059203984304	0.351911792856297	2786962	26634709
intact_Y_chrom	TCGA-22-1005	23847620	2.1762346859769	0.313911948954752	2787000	26634620
intact_Y_chrom	TCGA-22-1011	23846417	2.95075799934661	0.228759683347534	2786973	26633390
Y_chrom_loss	TCGA-22-1016	23847714	2.5147621829195	0.426018101438896	2786962	26634676
Y_chrom_loss	TCGA-22-4591	23847573	6.05759313744595	0.739927611486133	2787136	26634709
intact_Y_chrom	TCGA-22-4593	22063602	2.71246379900185	0.694307454933941	2786976	26628250
intact_Y_chrom	TCGA-22-4595	23846205	3.2918248310663	0.320565404182123	2787136	26633341
Y_chrom_loss	TCGA-22-4604	23847674	3.46908538496539	0.437015106379331	2786976	26634650
intact_Y_chrom	TCGA-22-4607	16830210	2.00795204852333	0.634710162196781	2787044	26634676
Y_chrom_loss	TCGA-22-4609	23847721	2.00864664895259	0.403236102772542	2787015	26634736
Y_chrom_loss	TCGA-22-5471	23840794	3.23561489775494	0.453270385816501	2787456	26628250
Y_chrom_loss	TCGA-22-5472	23840851	1.95158093362353	0.614138423388452	2787449	26628300
intact_Y_chrom	TCGA-22-5473	23847281	2.87639726525125	0.599814613814286	2787395	26634676
Y_chrom_loss	TCGA-22-5474	23840850	3.17500932496863	0.503737892035728	2787450	26628300
intact_Y_chrom	TCGA-22-5477	23840731	3.64226373074123	0.715333540275799	2787519	26628250
Y_chrom_loss	TCGA-22-5478	23839467	3.96670410361022	0.384685789214978	2787533	26627000
intact_Y_chrom	TCGA-22-5479	23786000	3.20182667987378	0.343297009780204	2842250	26628250
intact_Y_chrom	TCGA-22-5482	23840866	3.85995727166998	0.593653149943628	2787434	26628300
intact_Y_chrom	TCGA-22-5483	23135055	3.12296127791723	0.645276881202611	2787019	26628250
intact_Y_chrom	TCGA-22-5489	23839550	2.21221762335945	0.422933056559664	2787500	26627050
Y_chrom_loss	TCGA-22-5491	23841290	3.38413244392838	0.694256078753714	2787060	26628350
intact_Y_chrom	TCGA-22-A5C4	23786146	3.50333792422614	0.54819763594262	2842154	26628300
intact_Y_chrom	TCGA-26-1439	23847623	4.53502974847383	0.537831790660197	2787053	26634676
Y_chrom_loss	TCGA-26-1442	23840915	1.42082404139188	0.488362881396423	2787385	26628300
intact_Y_chrom	TCGA-26-1799	23847685	2.24231509712146	0.787918948912542	2787015	26634700
intact_Y_chrom	TCGA-26-5132	23846379	1.96836989926875	0.833344396995539	2786962	26633341
intact_Y_chrom	TCGA-26-5133	23846431	1.8401566192779	0.875679921833145	2787019	26633450
intact_Y_chrom	TCGA-26-5134	23847620	1.90984724482627	0.868595969593339	2787000	26634620
intact_Y_chrom	TCGA-26-6173	23841282	2.11187748834528	0.53760072508521	2786968	26628250
intact_Y_chrom	TCGA-26-A7UX	23840801	1.99258292905495	0.920776192461721	2787449	26628250
intact_Y_chrom	TCGA-27-1830	23840800	1.98505552259667	0.635511096598799	2787450	26628250
intact_Y_chrom	TCGA-27-1831	23847682	2.08657115619671	0.689920004188394	2786938	26634620
intact_Y_chrom	TCGA-27-1834	23847741	3.94152012812243	0.491829104646233	2786968	26634709
intact_Y_chrom	TCGA-27-1837	23846450	1.99267792338813	0.790440816422539	2786973	26633423
intact_Y_chrom	TCGA-27-2518	23847725	2.15115646719102	0.635433584792926	2786984	26634709
intact_Y_chrom	TCGA-27-2519	23847598	1.87059846519159	0.652633829877331	2787052	26634650
Y_chrom_loss	TCGA-27-2521	23847682	1.7913652905227	0.611140971281039	2786938	26634620
intact_Y_chrom	TCGA-27-2523	23847326	2.08123085951692	0.89883866828157	2787350	26634676
intact_Y_chrom	TCGA-27-2524	23847708	1.92087682081162	0.742219053118695	2786968	26634676
Y_chrom_loss	TCGA-27-2527	23846288	1.97586691816063	0.336851187965008	2787053	26633341
intact_Y_chrom	TCGA-27-2528	23847747	2.07364782870651	0.678207323695779	2786962	26634709
